Name,Gender,Date of Birth,Address,Aadhar Number,License Number,Issue Date,Expiry Date,Employee ID,Job Title,Department Name,Location,Date of Joining,Bank Name,Account Number,PAN Number,PF Account Number,UAN Number,Salary Status,Available Calendar Days,Paid Days,Leave Days
Colin Gross,Male,2000-08-05,"Unit 2370 Box 7759
DPO AE 91957",803311659189,VXGVUZ70C7RLJC7,2023-01-31,2028-09-30,745421,Data Analyst,Marketing,Mumbai,2021-09-03,ICICI,577988773463,8XOXNT1SZA,000640935893,213233645182,credited,27,15,12
Vickie Bray,Female,1969-12-11,"475 Terri Fords Suite 668
Darrenview, NJ 46053",461196820465,JFS0Z85TSHTYGLY,2019-06-16,2028-10-26,767990,Software Engineer,Marketing,Chennai,2019-07-23,BOB,829882724294,MRQJUX50N6,642985921786,205740520636,credited,19,18,1
Dustin Byrd,Female,1999-03-27,"9879 Hobbs Valley
Meyersshire, MT 09189",130517239546,HM7X6G58LYVTJPJ,2023-09-27,2025-09-02,306691,Data Analyst,Marketing,Mumbai,2020-09-15,HDFC,312984402753,OZUFQMSOEL,105243895842,580401867073,credited,9,1,8
Kelly Perkins,Male,1986-05-13,"89706 Nicole Station Apt. 918
Clarkburgh, MP 66832",314801169006,FQSV0LBQ3OI21HF,2023-08-22,2027-12-12,406181,Software Engineer,Marketing,Mumbai,2022-01-15,AXIS,977552261186,GF6PI64ROE,376388010597,768968927196,credited,7,2,5
Ryan Chen,Female,1947-03-22,"12809 Michael Forest
East Taylormouth, MD 12100",639311497279,ZPH4540CP3J48WQ,2019-04-27,2024-12-22,004058,Software Engineer,Marketing,Chennai,2022-04-28,PNB,576878436637,JDBNXIOV38,970756711670,408368161396,credited,7,5,2
Andrew Hill,Female,1965-12-26,"81330 Michael Shoal Apt. 918
West Lori, MH 49692",643627639105,ICXDNF2TOQYG5DF,2019-10-04,2024-05-30,796477,Sales Manager,Marketing,Chennai,2020-05-04,KOTAK,878806536630,VI8LIF6JAL,948731034396,281726431934,credited,24,3,21
Eric Spencer,Female,1988-05-22,"7032 Timothy Place Apt. 766
Kellymouth, VA 78710",676171285807,1NLA7S42MX4G7P7,2022-05-08,2025-07-02,049555,Project Manager,Marketing,Chennai,2021-04-01,AXIS,548606958214,AC4F3JZBPH,730118796846,556575574546,credited,17,2,15
Phillip Fowler,Female,2001-05-15,"94714 Allen Terrace
Sonyaport, IL 12661",179332917352,RWDG1E5OGQ7F60Z,2019-07-13,2025-02-27,980634,Sales Manager,Marketing,Pune,2018-10-28,YES BANK,170309344310,MDTAYCXK79,750616832526,892279090068,credited,1,1,0
Sara Brown,Male,1947-12-09,"1954 Jackson Villages Suite 175
Whitneystad, WY 15253",660451243573,ABZHMG7NXE18HDM,2021-11-21,2024-04-23,829130,Data Analyst,Marketing,Chennai,2020-06-06,YES BANK,402936363925,A9H8U1IDGH,696477824878,548592488859,credited,8,3,5
Dennis Allen,Female,1998-09-09,"35994 Andrew Cliffs
North Steven, ME 97164",999277525389,JEZ5MTQZSBZA8UY,2020-02-13,2026-05-24,320720,Project Manager,Marketing,Pune,2019-01-23,SBI,209058222160,M16DMCQQU9,510233037553,530770285546,credited,26,6,20
Michelle Davis MD,Male,1948-02-21,"4150 Anne Lodge
North Jennifer, AS 99027",199652879288,TW61JVZ7SJKOJSB,2021-06-25,2027-07-25,245350,Data Analyst,Marketing,Pune,2022-12-20,AXIS,893186116034,WH79TV3EYQ,232815002506,676315641220,credited,22,15,7
Barry Ross,Female,1960-05-20,"59420 Combs Courts
North Johnny, NY 13955",604847453264,0TW9F45RK46HMHB,2023-03-08,2024-02-10,390233,Project Manager,Marketing,Pune,2019-02-21,YES BANK,050600360972,3X0OURSH00,605739113324,778329377547,credited,21,11,10
Nicole Henderson,Male,2001-12-21,"84000 Lisa Island Apt. 895
Michaelchester, VI 63777",792725683517,JFE5E4WMUM3P9O0,2021-07-25,2027-07-05,905553,Sales Manager,Marketing,Mumbai,2022-07-02,BOB,401428633083,0Z40XWO84F,709649720907,524845932006,credited,11,6,5
John Anderson,Female,1946-03-08,"7469 Charlene Junctions Apt. 363
Youngview, VA 90901",592799322471,EX6OSVNXPGAYQD2,2022-11-14,2026-08-08,088986,Software Engineer,Marketing,Pune,2021-07-14,HDFC,176279990018,QZNDY30NUZ,255642262422,725416853564,credited,2,1,1
Christopher Martinez,Female,1999-09-14,"7865 John Pines Suite 681
Port Jamesport, AL 84884",878254271433,EFN4EXZUJT07MY6,2023-06-28,2025-10-19,285772,Sales Manager,Marketing,Bangalore,2020-07-19,BOB,992911683528,90S88FLVKV,967630814860,476776709132,credited,28,12,16
Jeanne Riggs,Female,1951-07-06,"083 Juarez Inlet
East Pam, LA 07078",938277398787,5QV8VF2KM3AHLCQ,2022-02-04,2024-11-12,190968,Sales Manager,Marketing,Chennai,2023-08-11,BOB,140905260376,2GH4DUNHZ6,335991476174,598063368840,credited,13,12,1
Jacob English,Female,1954-06-11,"91314 Hawkins Row
North Ashleyfurt, MS 30198",860512787413,RZSPEQFMDOQPABJ,2021-08-28,2025-08-27,804373,Software Engineer,Marketing,Bangalore,2020-01-23,BOB,921843959439,20POC8NPG5,556668511676,501703718549,credited,20,11,9
Mr. James Woods,Female,1947-04-08,"1815 Nicholas Run
Edwardsmouth, ND 38248",132945652466,GQZIAG0Y4DSAPFH,2020-11-12,2024-12-29,482313,Software Engineer,Marketing,Mumbai,2019-11-15,HDFC,405360422856,VZP6NDCVLI,571570425939,037761998062,credited,4,1,3
Jessica Macdonald,Male,1979-03-22,"17951 Stephens Avenue
Buchananton, SD 35485",358212928417,XFYFA7B199TULWJ,2021-07-13,2028-07-15,188882,Sales Manager,Marketing,Bangalore,2022-10-29,HDFC,432422301694,FEYKK0MZ36,412724487673,421101718686,credited,15,8,7
Mark Keller,Female,1973-12-25,"40853 Kevin Lake Apt. 383
Calvinport, MI 67518",207086713967,0GJZD7ORZMY7T5X,2019-12-04,2024-09-16,844211,Project Manager,Marketing,Pune,2019-11-08,AXIS,397749517005,PIHSIJX235,454228696770,942868664121,credited,14,7,7
